#Lists all companies in the S&P 500
Symbol,Name,Sector
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ABT,Abbott,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture,Information Technology
ATVI,Activision Blizzard,Communication Services
ADM,ADM,Consumer Staples
ADBE,Adobe Inc.,Information Technology
ADP,ADP,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AES,AES Corporation,Utilities
AFL,Aflac,Financials
A,Agilent Technologies,Health Care
APD,Air Products and Chemicals,Materials
AKAM,Akamai,Information Technology
ALK,Alaska Air Group,Industrials
ALB,Albemarle Corporation,Materials
ARE,Alexandria Real Estate Equities,Real Estate
ALGN,Align Technology,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy,Utilities
ALL,Allstate,Financials
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
MO,Altria,Consumer Staples
AMZN,Amazon,Consumer Discretionary
AMCR,Amcor,Materials
AMD,AMD,Information Technology
AEE,Ameren,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express,Financials
AIG,American International Group,Financials
AMT,American Tower,Real Estate
AWK,American Water Works,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen,Health Care
AME,Ametek,Industrials
AMGN,Amgen,Health Care
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
ANSS,Ansys,Information Technology
AON,Aon,Financials
APA,APA Corporation,Energy
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials,Information Technology
APTV,Aptiv,Consumer Discretionary
ACGL,Arch Capital Group,Financials
ANET,Arista Networks,Information Technology
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
T,AT&T,Communication Services
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Information Technology
AZO,AutoZone,Consumer Discretionary
AVB,AvalonBay Communities,Real Estate
AVY,Avery Dennison,Materials
BKR,Baker Hughes,Energy
BALL,Ball Corporation,Materials
BAC,Bank of America,Financials
BBWI,Bath & Body Works Inc.,Consumer Discretionary
BAX,Baxter International,Health Care
BDX,Becton Dickinson,Health Care
WRB,Berkley,Financials
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy,Consumer Discretionary
BIO,Bio-Rad,Health Care
TECH,Bio-Techne,Health Care
BIIB,Biogen,Health Care
BLK,BlackRock,Financials
BK,BNY Mellon,Financials
BA,Boeing,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
BSX,Boston Scientific,Health Care
BMY,Bristol Myers Squibb,Health Care
AVGO,Broadcom Inc.,Information Technology
BR,Broadridge Financial Solutions,Information Technology
BRO,Brown & Brown,Financials
BF.B,Brown–Forman,Consumer Staples
CHRW,C.H. Robinson,Industrials
CDNS,Cadence Design Systems,Information Technology
CZR,Caesars Entertainment,Consumer Discretionary
CPT,Camden Property Trust,Real Estate
CPB,Campbell Soup Company,Consumer Staples
COF,Capital One,Financials
CAH,Cardinal Health,Health Care
KMX,CarMax,Consumer Discretionary
CCL,Carnival,Consumer Discretionary
CARR,Carrier Global,Industrials
CTLT,Catalent,Health Care
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CDW,CDW,Information Technology
CE,Celanese,Materials
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CDAY,Ceridian,Information Technology
CF,CF Industries,Materials
